borrowing_id,funding_source,cost_of_funds,maturity_bucket,interest_reset_type,borrowing_amount,rollover_risk_score,flag_cost_invalid,flag_rollover_invalid,cost_of_funds_outlier_flag,borrowing_amount_outlier_flag,rollover_risk_score_outlier_flag,annual_interest_expense,is_short_term_funding,funding_risk_exposure
1,ncd,9.85,3m,fixed,13258402,0.4381,False,False,False,False,False,1305952.6,1,5808505.92
2,term loan,9.36,6m,fixed,12052655,0.3983,False,False,False,False,False,1128128.51,0,4800572.49
3,term loan,9.25,1y,fixed,17108661,0.6312,False,False,False,False,False,1582551.14,0,10798986.82
4,bank line,7.78,3y,floating,30357624,0.6288,False,False,False,False,False,2361823.15,0,19088873.97
5,ncd,10.76,3m,fixed,4797344,0.4134,False,False,False,False,False,516194.21,1,1983222.01
6,bank line,11.51,1y,fixed,29117565,0.1816,False,False,False,False,False,3351431.73,0,5287749.8
7,term loan,5.04,1y,fixed,25106022,0.5819,False,False,False,False,False,1265343.51,0,14609194.2
8,commercial paper,5.55,3y,fixed,22338434,0.9665,False,False,False,False,False,1239783.09,0,21590096.46
9,bank line,9.72,3y,fixed,21069309,0.1854,False,False,False,False,False,2047936.83,0,3906249.89
10,ncd,6.65,3m,floating,26932514,0.0691,False,False,False,False,False,1791012.18,1,1861036.72
11,term loan,11.38,3y,fixed,28787806,0.2646,False,False,False,False,False,3276052.32,0,7617253.47
12,term loan,9.67,1y,fixed,41838459,0.4129,False,False,False,False,False,4045778.99,0,17275099.72
13,bank line,7.58,3y,floating,4438118,0.3062,False,False,False,False,False,336409.34,0,1358951.73
14,bank line,7.91,3m,fixed,15933966,0.8347,False,False,False,False,False,1260376.71,1,13300081.42
15,term loan,9.84,3m,fixed,33026112,0.493,False,False,False,False,False,3249769.42,1,16281873.22
16,bank line,5.99,3m,fixed,13442468,0.2461,False,False,False,False,False,805203.83,1,3308191.37
17,term loan,11.18,3y,floating,46951673,0.9502,False,False,False,False,False,5249197.04,0,44613479.68
18,ncd,5.03,6m,floating,48476314,0.1251,False,False,False,False,False,2438358.59,0,6064386.88
19,commercial paper,11.85,3m,floating,4655572,0.1229,False,False,False,False,False,551685.28,1,572169.8
20,bank line,6.17,6m,fixed,27107829,0.2453,False,False,False,False,False,1672553.05,0,6649550.45
21,ncd,10.19,1m,fixed,48285984,0.0768,False,False,False,False,False,4920341.77,1,3708363.57
22,ncd,5.28,3m,fixed,30866113,0.7517,False,False,False,False,False,1629730.77,1,23202057.14
23,bank line,8.02,6m,fixed,38557901,0.3128,False,False,False,False,False,3092343.66,0,12060911.43
24,ncd,9.41,6m,floating,14356905,0.7298,False,False,False,False,False,1350984.76,0,10477669.27
25,term loan,5.49,1y,floating,33192642,0.7627,False,False,False,False,False,1822276.05,0,25316028.05
26,bank line,8.1,6m,fixed,39652557,0.2375,False,False,False,False,False,3211857.12,0,9417482.29
27,commercial paper,7.12,1y,floating,16680516,0.5184,False,False,False,False,False,1187652.74,0,8647179.49
28,term loan,8.49,6m,fixed,3161488,0.5196,False,False,False,False,False,268410.33,0,1642709.16
29,ncd,8.53,6m,fixed,23288550,0.8714,False,False,False,False,False,1986513.31,0,20293642.47
30,ncd,10.5,1m,floating,16110528,0.0256,False,False,False,False,False,1691605.44,1,412429.52
31,commercial paper,5.86,6m,floating,23951466,0.3168,False,False,False,False,False,1403555.91,0,7587824.43
32,commercial paper,5.58,3y,floating,30563995,0.8825,False,False,False,False,False,1705470.92,0,26972725.59
33,ncd,7.81,3y,fixed,4663599,0.2368,False,False,False,False,False,364227.08,0,1104340.24
34,commercial paper,11.21,3y,fixed,30903034,0.1369,False,False,False,False,False,3464230.11,0,4230625.35
35,commercial paper,10.99,1m,floating,26347661,0.5761,False,False,False,False,False,2895607.94,1,15178887.5
36,ncd,8.92,6m,floating,26497040,0.3059,False,False,False,False,False,2363535.97,0,8105444.54
37,term loan,11.22,1m,floating,36569422,0.4673,False,False,False,False,False,4103089.15,1,17088890.9
38,bank line,10.64,6m,floating,34571373,0.82,False,False,False,False,False,3678394.09,0,28348525.86
39,ncd,6.95,1y,floating,32602345,0.5207,False,False,False,False,False,2265862.98,0,16976041.04
40,commercial paper,6.19,1m,fixed,40612530,0.5159,False,False,False,False,False,2513915.61,1,20952004.23
41,commercial paper,7.11,3y,fixed,49274694,0.2782,False,False,False,False,False,3503430.74,0,13708219.87
42,term loan,6.59,3y,floating,31332846,0.7929,False,False,False,False,False,2064834.55,0,24843813.59
43,ncd,9.36,3y,floating,28501911,0.7398,False,False,False,False,False,2667778.87,0,21085713.76
44,ncd,9.09,6m,fixed,1738137,0.2341,False,False,False,False,False,157996.65,0,406897.87
45,commercial paper,9.19,6m,fixed,32386573,0.32,False,False,False,False,False,2976326.06,0,10363703.36
46,ncd,6.33,1m,floating,31738194,0.7886,False,False,False,False,False,2009027.68,1,25028739.79
47,commercial paper,10.54,3m,fixed,37456756,0.3577,False,False,False,False,False,3947942.08,1,13398281.62
48,commercial paper,8.04,6m,floating,37911119,0.4036,False,False,False,False,False,3048053.97,0,15300927.63
49,commercial paper,8.31,3m,fixed,35787297,0.3644,False,False,False,False,False,2973924.38,1,13040891.03
50,bank line,11.98,3m,fixed,37601152,0.1616,False,False,False,False,False,4504618.01,1,6076346.16
51,commercial paper,6.98,6m,floating,38514607,0.3409,False,False,False,False,False,2688319.57,0,13129629.53
52,term loan,7.76,1m,floating,37527266,0.8029,False,False,False,False,False,2912115.84,1,30130641.87
53,ncd,9.74,3m,fixed,33105194,0.4911,False,False,False,False,False,3224445.9,1,16257960.77
54,bank line,11.16,1m,floating,21011799,0.4582,False,False,False,False,False,2344916.77,1,9627606.3
55,ncd,5.89,1m,floating,40859524,0.1564,False,False,False,False,False,2406625.96,1,6390429.55
56,term loan,10.15,6m,floating,18388444,0.1776,False,False,False,False,False,1866427.07,0,3265787.65
57,bank line,11.43,3m,floating,41050408,0.043,False,False,False,False,False,4692061.63,1,1765167.54
58,ncd,7.96,1m,fixed,27657920,0.014,False,False,False,False,False,2201570.43,1,387210.88
59,bank line,7.01,3m,fixed,47752696,0.488,False,False,False,False,False,3347463.99,1,23303315.65
60,commercial paper,9.74,1m,fixed,49626810,0.4092,False,False,False,False,False,4833651.29,1,20307290.65
61,commercial paper,6.72,6m,fixed,5241032,0.2754,False,False,False,False,False,352197.35,0,1443380.21
62,ncd,7.69,1m,fixed,45420963,0.99,False,False,False,False,False,3492872.05,1,44966753.37
63,term loan,11.28,6m,fixed,42552398,0.398,False,False,False,False,False,4799910.49,0,16935854.4
64,bank line,9.13,6m,floating,9812361,0.7888,False,False,False,False,False,895868.56,0,7739990.36
65,bank line,5.66,3m,fixed,20188964,0.2105,False,False,False,False,False,1142695.36,1,4249776.92
66,ncd,7.31,3m,floating,33545571,0.247,False,False,False,False,False,2452181.24,1,8285756.04
67,commercial paper,9.39,3m,floating,41934133,0.5684,False,False,False,False,False,3937615.09,1,23835361.2
68,bank line,8.37,1y,floating,13305460,0.004,False,False,False,False,False,1113667.0,0,53221.84
69,commercial paper,9.62,3m,fixed,24200078,0.0174,False,False,False,False,False,2328047.5,1,421081.36
70,commercial paper,10.33,3m,fixed,45233362,0.1422,False,False,False,False,False,4672606.29,1,6432184.08
71,term loan,8.36,1m,floating,27892580,0.2231,False,False,False,False,False,2331819.69,1,6222834.6
72,commercial paper,11.91,1y,fixed,23801647,0.5278,False,False,False,False,False,2834776.16,0,12562509.29
73,commercial paper,11.4,1y,fixed,24245242,0.6862,False,False,False,False,False,2763957.59,0,16637085.06
74,bank line,5.42,1m,floating,45209287,0.3119,False,False,False,False,False,2450343.36,1,14100776.62
75,term loan,6.87,3m,floating,6470807,0.2391,False,False,False,False,False,444544.44,1,1547169.95
76,term loan,7.1,3y,fixed,33739085,0.8228,False,False,False,False,False,2395475.03,0,27760519.14
77,ncd,6.29,6m,fixed,38745405,0.1628,False,False,False,False,False,2437085.97,0,6307751.93
78,ncd,7.18,1y,fixed,41584892,0.6783,False,False,False,False,False,2985795.25,0,28207032.24
79,ncd,7.97,1m,fixed,29803874,0.9313,False,False,False,False,False,2375368.76,1,27756347.86
80,term loan,5.36,3y,floating,31409615,0.2322,False,False,False,False,False,1683555.36,0,7293312.6
81,commercial paper,5.89,6m,fixed,18133638,0.087,False,False,False,False,False,1068071.28,0,1577626.51
82,term loan,5.67,3y,floating,24688936,0.9798,False,False,False,False,False,1399862.67,0,24190219.49
83,commercial paper,5.32,3m,floating,34418146,0.2708,False,False,False,False,False,1831045.37,1,9320433.94
84,ncd,8.37,1m,floating,43646283,0.2757,False,False,False,False,False,3653193.89,1,12033280.22
85,ncd,7.34,6m,floating,19247088,0.4838,False,False,False,False,False,1412736.26,0,9311741.17
86,commercial paper,11.55,6m,fixed,5180987,0.2311,False,False,False,False,False,598404.0,0,1197326.1
87,commercial paper,5.72,3m,floating,36856719,0.9929,False,False,False,False,False,2108204.33,1,36595036.3
88,ncd,11.48,3m,fixed,30417467,0.043,False,False,False,False,False,3491925.21,1,1307951.08
89,commercial paper,5.61,3m,fixed,6453635,0.4515,False,False,False,False,False,362048.92,1,2913816.2
90,term loan,9.33,1m,floating,38614892,0.5483,False,False,False,False,False,3602769.42,1,21172545.28
91,ncd,6.73,1y,floating,25293160,0.467,False,False,False,False,False,1702229.67,0,11811905.72
92,term loan,10.79,3y,fixed,1233708,0.5205,False,False,False,False,False,133117.09,0,642145.01
93,ncd,5.43,1m,floating,15595900,0.9876,False,False,False,False,False,846857.37,1,15402510.84
94,bank line,11.67,1m,floating,34212383,0.8769,False,False,False,False,False,3992585.1,1,30000838.65
95,term loan,5.33,3y,fixed,29216907,0.3084,False,False,False,False,False,1557261.14,0,9010494.12
96,bank line,6.69,6m,floating,41055289,0.5515,False,False,False,False,False,2746598.83,0,22641991.88
97,ncd,8.25,3y,floating,10909204,0.0003,False,False,False,False,False,900009.33,0,3272.76
98,term loan,10.29,3m,floating,18006990,0.4096,False,False,False,False,False,1852919.27,1,7375663.1
99,term loan,11.66,6m,fixed,8973474,0.1639,False,False,False,False,False,1046307.07,0,1470752.39
100,term loan,8.0,1m,floating,3174274,0.7114,False,False,False,False,False,253941.92,1,2258178.52
101,commercial paper,10.3,3y,fixed,25924161,0.2211,False,False,False,False,False,2670188.58,0,5731832.0
102,term loan,10.09,1m,fixed,47153337,0.7489,False,False,False,False,False,4757771.7,1,35313134.08
103,term loan,9.0,1m,floating,20292037,0.3132,False,False,False,False,False,1826283.33,1,6355465.99
104,bank line,9.84,3y,fixed,47460088,0.9258,False,False,False,False,False,4670072.66,0,43938549.47
105,term loan,5.27,1m,floating,17023567,0.4454,False,False,False,False,False,897141.98,1,7582296.74
106,commercial paper,8.09,1y,floating,20435798,0.8395,False,False,False,False,False,1653256.06,0,17155852.42
107,term loan,10.5,1y,fixed,6686824,0.6282,False,False,False,False,False,702116.52,0,4200662.84
108,bank line,8.32,1m,fixed,30786013,0.9774,False,False,False,False,False,2561396.28,1,30090249.11
109,term loan,11.11,6m,floating,22115842,0.7427,False,False,False,False,False,2457070.05,0,16425435.85
110,term loan,10.84,6m,fixed,41493433,0.7277,False,False,False,False,False,4497888.14,0,30194771.19
111,bank line,11.04,6m,fixed,16078454,0.2649,False,False,False,False,False,1775061.32,0,4259182.46
112,ncd,5.91,6m,fixed,10205967,0.5049,False,False,False,False,False,603172.65,0,5152992.74
113,term loan,6.71,1y,floating,12974787,0.2901,False,False,False,False,False,870608.21,0,3763985.71
114,ncd,5.21,6m,floating,24975277,0.0193,False,False,False,False,False,1301211.93,0,482022.85
115,bank line,11.88,3y,floating,36136867,0.7106,False,False,False,False,False,4293059.8,0,25678857.69
116,bank line,6.65,6m,floating,27400539,0.2358,False,False,False,False,False,1822135.84,0,6461047.1
117,ncd,7.57,3y,floating,23490353,0.3973,False,False,False,False,False,1778219.72,0,9332717.25
118,commercial paper,6.92,1y,fixed,36161371,0.2846,False,False,False,False,False,2502366.87,0,10291526.19
119,commercial paper,5.28,3y,fixed,6252730,0.1996,False,False,False,False,False,330144.14,0,1248044.91
